Geological_Feature,Setting,Constraint_Type,Definition,Piles_Assessment,Suction_Caisson_Assessment,GBS_Assessment,Cables_Assessment,Dominant_Constraint,Comments,References
Evacuation zone (aka. Headwall domain; depletion zone; extensional domain) can include all mass movement (topple/fall/debris flows etc),Mass movement,"Lithology, relief","The most upslope zone of a mass movement, within which the remobilized material lies below the original ground surface (modified from: Cruden, 1993). Its upper limit is set by the geometry of the HEAD SCARP and this zone is normally dominated by extension features such as Blocks or elongated Ridges (Nissen et al., 1999).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,>5 degree slope,"In-situ headscarps (i.e., buried or at seabed surface, ancient) may be mapped in the subsurface and penetrated via CPTs to determine lithology of sediments infilling the headscarp.  

Present-day mass movement may cause impact damage to WTGs and cables (or lateral displacement inducing tensions or kinks).","Fisher, J.E., Esmailzadeh, S. and Fillingham, J.N., 2023, April. Geological and Geotechnical Considerations for Floating Offshore Wind Infrastructure within the US Atlantic OCS. In Offshore Technology Conference (p. D021S028R002). OTC."
Erratic blocks and rafts (non-glacial origin),Mass movement,"Lithology, relief","Large rock or boulder carried by rivers, lateral drift or gravity transport contrasting with the country rock that can be found from the shelf to the abyssal plains",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Rafts or boulders,"In-situ MTDs (i.e., buried or at seabed surface, ancient) may be mapped in the subsurface and penetrated via CPTs to determine lithology.

Present-day mass movement may cause impact damage to WTGs and cables (or lateral displacement inducing tensions or kinks)","Fisher, J.E., Esmailzadeh, S. and Fillingham, J.N., 2023, April. Geological and Geotechnical Considerations for Floating Offshore Wind Infrastructure within the US Atlantic OCS. In Offshore Technology Conference (p. D021S028R002). OTC."
Submerged Carbonate karst,Karst,Lithology,"Submerged landscape where the dominant geomorphic process was dissolution of carbonate rocks; characterised by distinctive landforms, e.g. caves, CARBONATE DOLINES, underground drainage (modified after Field, 2002)",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Uneven ground,Can pose a serious risk to the lives of those onboard the installation vessel. Can result in the complete loss of a foundation. Hard substrate so could cause abrasion of surface-laid cables and pipelines.,"Dusart, J., Tarits, P., Bazin, S., Isorna, R. and d'Eu, J.F., 2022. Marine karst environment characterization using joint geophysical and geotechnical data. Near Surface Geophysics, 20(4), pp.349-364."
Submerged salt karst,Karst,Lithology,"Submerged landscape where the dominant geomorphic process was dissolution of salt (halite); characterised by distinctive rough terrain and landforms, e.g. dolines (modified after Field, 2002).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Uneven ground,Can pose a serious risk to the lives of those onboard the installation vessel. Can result in the complete loss of a foundation. Hard substrate so could cause abrasion of surface-laid cables and pipelines.,"Duffy, O., Hudec, M., Peel, F., Apps, G., Bump, A., Moscardelli, L., Dooley, T., Fernandez, N., Bhattacharya, S., Wisian, K. and Shuster, M., 2023. The role of salt tectonics in the energy transition: An overview and future challenges. Tektonika, 1(1)."
Submerged sandstone karst,Karst,Lithology,"Submerged landscape where the dominant geomorphic processes were a combination of chemical weathering and other erosional processes of sandstone (quartz); characterised by distinctive rough terrain and landforms, e.g. ruiniform. ",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Uneven ground,Can pose a serious risk to the lives of those onboard the installation vessel. Can result in the complete loss of a foundation. Hard substrate so could cause abrasion of surface-laid cables and pipelines.,"Dusart, J., Tarits, P., Bazin, S., Isorna, R. and d'Eu, J.F., 2022. Marine karst environment characterization using joint geophysical and geotechnical data. Near Surface Geophysics, 20(4), pp.349-364."
Mud volcano,Fluid flow ,"Geohazard, relief","A positive topographic unit, usually conical, formed by the periodic upwelling of sediments (mud) fluidised by gas and water (Etiope, 2015). It can develop as a single isolated cone (that can be several hundreds of meters high) or, more frequently, as groups of cones. ",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active fluid flow,Geohazard if active. Geohazard considered where dynamic geological event or process that is a risk to development. ,"Ercilla, G., Casas, D., Alonso, B., Casalbore, D., Galindo-Zaldívar, J., García-Gil, S., Martorelli, E., Vázquez, J.T., Azpiroz-Zabala, M., DoCouto, D. and Estrada, F., 2021, May. Offshore geological hazards: charting the course of progress and future directions. In Oceans (Vol. 2, No. 2, pp. 393-428). MDPI."
Pockmark (individually mapped),Fluid flow ,"Geohazard, relief","A concave crater-like Depression formed by gas and/or fluid expulsion, typically one to tens of meters in diameter but can be up to a few hundred meters wide (Hovland et al., 1987). Pockmarks tend to be characteristic V-shaped depressions, with circular, or elliptical geometry. However, they can also present a W-shaped profile or more complex geometries.",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active fluid flow,Individually mapped pockmarks. Pockmarks only considered geohazard if active. Geohazard considered where dynamic geological event or process that is a risk to development. ,"Coughlan, M., Roy, S., O'Sullivan, C., Clements, A., O'Toole, R., & Plets, R. (2021). Geological settings and controls of fluid migration and associated seafloor seepage features in the north Irish Sea. Marine and Petroleum Geology, 123, 104762."
Pockmark (field),Fluid flow ,"Geohazard, relief","A concave crater-like Depression formed by gas and/or fluid expulsion, typically one to tens of meters in diameter but can be up to a few hundred meters wide (Hovland et al., 1987). Pockmarks tend to be characteristic V-shaped depressions, with circular, or elliptical geometry. However, they can also present a W-shaped profile or more complex geometries.",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Active fluid flow,Multiple pockmarks mapped over one area. This data entry indicates that individual pockmarks are not mapped - would require further investigation. Pockmarks only considered geohazard if active. Geohazard considered where dynamic geological event or process that is a risk to development. ,"Coughlan, M., Roy, S., O'Sullivan, C., Clements, A., O'Toole, R., & Plets, R. (2021). Geological settings and controls of fluid migration and associated seafloor seepage features in the north Irish Sea. Marine and Petroleum Geology, 123, 104762."
Hydrothermal vent,Fluid flow ,"Geohazard, relief","Fissures on the oceanic crust in volcanically active sites (e.g. mid-ocean ridges, back-arc spreading centres, and hot-spot or arc-related submarine volcanoes), from which geothermally heated water is released. Circulating seawater is heated by a heat source such as a magma chamber or
associated hot rock and, during heating and chemical reaction with the surrounding rock, undergoes a suite of chemical modifications (modified after Harff et al., 2016).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active fluid flow,Not possible to develop on sites,"Aish, A., Ashworth, J., Barrio-Frojan, B., Benjamins, S., Bolam, S., Brazier, P., Brockington, S., Chaniotis, P., Clements, A., Coggan, R. and Coltman, N., 2010. Marine habitats. In UK Marine Monitoring and Assessment Strategy (2010) Charting Progress 2 Healthy and Biological Diverse Seas Feeder Report (pp. 68-271). Department for Environment Food and Rural Affairs."
Shallow gas ,Fluid flow ,Geohazard,"The presence of shallow biogenic or hydrocarbon-originated gas charged sediment. Any gas pocket encountered above the setting depth of the first pressure containment string, in a borehole (from Cook et al., 2022).",Higher Constraint,Higher Constraint,Higher Constraint,Higher Constraint,Active fluid flow,"Can lead to blowouts when drilling. Blowout Preventers (BOPs) are required for drilling in potentially gassy soils. Difficult to engineer around, avoidance is typically the main approach to de-risking developments in areas of gassy soils. Geohazard considered where dynamic geological event or process that is a risk to development. ","Mellett, C.L., Long, D. and Carter, G., 2015. Geology of the seabed and shallow subsurface: The Irish Sea.

Coughlan, M., Long, M. and Doherty, P., 2020. Geological and geotechnical constraints in the Irish Sea for offshore renewable energy. Journal of Maps, 16(2), pp.420-431."
"Outcropping
methane-derived
authigenic
carbonate (MDAC)",Fluid flow ,Lithology,"Exposed authigenic carbonate structures, mostly in the form of hardground with positive relief, associated with the seepage of methane rich fluids as a result of the anaerobic methane oxidation coupled with sulphate reduction by associations of archaea and bacteria (Hovland et al., 1987).",Moderate constraint,Higher Constraint,Moderate constraint,Moderate constraint,Hard substrate,Creates a hard surface that is recognised as a special habitat that must be preserved. Potential fluid flow to determine if current or past fluid flow.,"Capozzi, R., Guido, F.L., Oppo, D. and Gabbianelli, G., 2012. Methane-Derived Authigenic Carbonates (MDAC) in northern-central Adriatic Sea: Relationships between reservoir and methane seepages. Marine Geology, 332, pp.174-188."
"Reefs (ancient, buried and present day)",Biogenic,"Lithology, relief","In-situ, positive relief, persistent build-ups of primarily skeleton-supported framework (+ internal binding), that influence the local sedimentary environment (Klement, 1967), and supports (or supported) living communities during active accretion. Definition modified from a range of sources: (Cumings, 1932; Goudie, 2006; Harris and Baker, 2020; Klement, 1967; Lo Iacono et al., 2018). ",Higher Constraint,Higher Constraint,Higher Constraint,Moderate constraint,Active sedimentary system / hardground,"Kaskela, A. & Rinne, H. 2018: Vedenalaisten Natura-luontotyyppien mallinnus Suomen merialueella (In Finnish). Geological Survey of Finland, Research report 6/2018, 36 p.
Rinne, H., Kaskela, A., Downie, A.-L., Tolvanen, H., von Numers, M., Mattila, J., 2014. Predicting the occurrence of rocky reefs in a heterogeneous archipelago area with limited data. Estuar. Coast. Shelf Sci. 138, 90–100.","Pearce, B., Fariñas-Franco, J.M., Wilson, C., Pitts, J., deBurgh, A. and Somerfield, P.J., 2014. Repeated mapping of reefs constructed by Sabellaria spinulosa Leuckart 1849 at an offshore wind farm site. Continental Shelf Research, 83, pp.3-13.

Guinan, J., McKeon, C., O'Keeffe, E., Monteys, X., Sacchetti, F., Coughlan, M. and Nic Aonghusa, C., 2021. INFOMAR data supports offshore energy development and marine spatial planning in the Irish offshore via the EMODnet Geology portal. Quarterly Journal of Engineering Geology and Hydrogeology, 54(1), pp.qjegh2020-033."
Concretions ,Post-depositional,Lithology,"Concretions form nodular growths comprised of various minerals that form within the host rock and vary in size, shape, composition and distribution (Todd, 1902)",Moderate constraint,Higher Constraint,Higher Constraint,Moderate constraint,Boulders,"E.g., more than 10% of the Finnish marine areas (seabed) are covered by Ferromanganese concretions. They are often located on the sandy/silty seabed substrate, but subsurface sediment may also be fine, e.g. (glacial) clay (e.g., Finland).","Zhamoida, V., Grigoriev, A., Ryabchuk, D., Evdokimenko, A., Kotilainen, A.T., Vallius, H. and Kaskela, A.M., 2017. Ferromanganese concretions of the eastern Gulf of Finland–Environmental role and effects of submarine mining. Journal of marine systems, 172, pp.178-187."
Submerged salt or shale domes/diapir,Post-depositional,"Lithology, relief","Submerged positive feature sitting on top of a salt diapir (halokinetic structure) of regular or irregular plan view shape usually covered by a relatively thick pile of sediment cover that can be unstable due to khalokinetic dynamics (dissolution, flow or uplift). They can be common in continental passive margins or in accretionary wedges. A distinct elevation, often with a rounded profile, one km or more in diameter that is
the geomorphologic expression of a diapir formed by vertical intrusion of salt. Commonly found in a PROVINCE of similar features.",Moderate constraint,Moderate constraint,Moderate constraint,Moderate constraint,Uneven ground,"Salt flowage seems to be one of the main mechanisms leading to folding and faulting of the late Miocene through Quaternary in Deep Algarve, Doñana, Cadiz and Sanlucar basins (Hernández-Molina et al., 2016)","Lopes, F.C., Cunha, P.P. and Le Gall, B., 2006. Cenozoic seismic stratigraphy and tectonic evolution of the Algarve margin (offshore Portugal, southwestern Iberian Peninsula). Marine Geology, 231(1-4), pp.1-36.

Hernández-Molina, F.J., Sierro, F.J., Llave, E., Roque, C., Stow, D.A.V., Williams, T., Lofi, J., Van der Schee, M., Arnáiz, A., Ledesma, S. and Rosales, C., 2016. Evolution of the gulf of Cadiz margin and southwest Portugal contourite depositional system: Tectonic, sedimentary and paleoceanographic implications from IODP expedition 339. Marine Geology, 377, pp.7-39.

Duffy, O., Hudec, M., Peel, F., Apps, G., Bump, A., Moscardelli, L., Dooley, T., Fernandez, N., Bhattacharya, S., Wisian, K. and Shuster, M., 2023. The role of salt tectonics in the energy transition: An overview and future challenges. Tektonika, 1(1)."
Clay Tectonics (polygonal fracture networks and folded layers/diapirs),Post-depositional,Structure and Geohazard,"Layer-bound arrays of normal faults confined to specific stratigraphic intervals called 'tiers' and typically hosted in fine-grained sediments. These include large-scale polygonal fracture networks and various other deformations (folded layers, diapirs, etc.).",Higher Constraint,Moderate constraint,Moderate constraint,Moderate constraint,Unknown - potential conduit for fluids?,"Ongoing research regarding polygonal faulting - e.g., VLAIO funding ongoing in clay tectonics https://research.ugent.be/web/result/project/8180a538-a0fb-44f0-ab27-e414f933ece8/details/en and https://www.bluecluster.be/projects/clay-tectonics","Verschuren, M., 2019. Outcrop evidence of polygonal faulting in Ypresian marine clays (Southern North Sea Basin) leads to a new synthesis. Marine Geology, 413, pp.85-98."
